sector,symbols,median_ret_20d,median_ret_60d,breadth_above_sma20_pct,breadth_above_sma50_pct,relative_strength_vs_market_20d,sector_score
AUTO_ANC,7,6.21,14.1,85.7,100.0,5.18,3
QSR,3,25.81,39.39,100.0,100.0,24.78,3
METALS,10,7.05,-1.57,90.0,90.0,6.02,3
FINTECH,2,16.18,28.84,100.0,100.0,15.15,3
CHEMICALS,8,0.05,7.46,37.5,50.0,-0.97,1
AUTO,8,2.98,9.41,37.5,87.5,1.95,1
BANK,26,1.3,2.48,53.8,50.0,0.28,1
CAPITAL_GOODS,7,1.4,4.35,42.9,71.4,0.38,1
PHARMA,18,0.78,5.76,44.4,50.0,-0.24,1
HOTELS,2,0.28,5.8,50.0,50.0,-0.74,1
FINANCIALS,21,0.08,4.92,52.4,52.4,-0.94,1
REALTY,6,-0.36,18.45,83.3,83.3,-1.38,0
IT,12,0.4,5.98,33.3,83.3,-0.63,0
NBFC,8,-1.02,11.76,50.0,87.5,-2.05,-2
PAINTS,2,-2.19,11.18,50.0,50.0,-3.22,-2
CEMENT,7,-3.35,-2.25,28.6,42.9,-4.38,-3
CONSUMER_DURABLES,4,-3.5,-3.8,25.0,25.0,-4.53,-3
LOGISTICS,3,-1.44,0.96,0.0,33.3,-2.46,-3
FMCG,11,-3.23,-4.64,9.1,18.2,-4.26,-3
HEALTHCARE,4,-3.78,-0.49,0.0,25.0,-4.81,-3
POWER,20,-4.06,-7.5,15.0,20.0,-5.08,-3
OIL_GAS,10,-2.46,-1.93,30.0,40.0,-3.49,-3
RETAIL,4,-2.19,-1.88,0.0,25.0,-3.22,-3
TELECOM,4,-2.28,-7.66,25.0,50.0,-3.31,-3
